# Sparse Matrix (Morse)  
# first line: n m (is symmetic) nbcoef 
# after for each nonzero coefficient:   i j a_ij where (i,j) \in  {1,...,n}x{1,...,m} 
306 306 0  2128
      131       131 0.029160279042136381944
      131       132 0.00041435614557796559112
      131       139 -0.00036480082908202176271
      131       140 -0.00045422107890972162562
      131       143 -1.6889123373115245378e-05
      131       144 7.0507904955551143082e-06
      131       155 -0.023178005760751924785
      131       156 -0.00044220659029841420835
      131       157 -0.0055918042749085539525
      131       158 0.0004750207331346147999
      132       131 0.00041435614557796559112
      132       132 0.015423313423785674214
      132       139 0.00014338520507335949508
      132       140 -0.0010625807329891479285
      132       143 -4.0178808595418758398e-05
      132       144 -5.8996301933246582025e-05
      132       155 -0.014574122257624624877
      132       156 -0.01236237898414703669
      132       157 0.014056559715568708174
      132       158 -0.0019305783506955173992
      133       133 0.03332329099198527711
      133       134 0.00057156410672653027404
      133       137 -5.2182025564999610131e-06
      133       138 3.9349305072827243818e-06
      133       141 -0.00057942949632405424138
      133       142 -0.0006688719928918071024
      133       153 -0.021314587728830308028
      133       154 -0.00064530526596126049077
      133       159 -0.011411990206604992124
      133       160 0.00073867822161925397219
      134       133 0.00057156410672653027404
      134       134 0.018211081510480699869
      134       137 -8.9149682228426990082e-06
      134       138 -1.9682377355354001248e-05
      134       141 0.00054156046219834628585
      134       142 -0.0020729632614230400489
      134       153 -0.017927951845413781645
      134       154 -0.012341941642337503002
      134       159 0.016823742244711756971
      134       160 -0.0037644288716953801591
      137       133 -5.2182025564999610131e-06
      137       134 -8.9149682228426990082e-06
      137       137 0.0028553320695981414083
      137       138 9.0909041223939456933e-06
      137       151 -0.0028576294244483575226
      137       152 -1.3061966869404691627e-05
      137       153 7.6232408937620367101e-06
      137       154 1.2886030969853446635e-05
      138       133 3.9349305072827243818e-06
      138       134 -1.9682377355354001248e-05
      138       137 9.0909041223939456933e-06
      138       138 0.0014450764449706117887
      138       151 -0.0018136099443801880805
      138       152 -0.0014538166882612864241
      138       153 0.0018005841097505112351
      138       154 2.8530304133074999571e-05
      139       131 -0.00036480082908202176271
      139       132 0.00014338520507335949508
      139       139 0.007142571357927287104
      139       140 -0.00020729517817166887906
      139       145 -0.0019118706458643873383
      139       146 0.00016273095645798682225
      139       157 -0.0048642472508246808321
      139       158 -9.8820983359677194323e-05
      140       131 -0.00045422107890972162562
      140       132 -0.0010625807329891479285
      140       139 -0.00020729517817166887906
      140       140 0.0048438064085916448728
      140       145 0.0025495004892880533329
      140       146 -0.0019548437029800395763
      140       157 -0.0018879842322066617711
      140       158 -0.0018247293404662606308
      141       133 -0.00057942949632405424138
      141       134 0.00054156046219834628585
      141       141 0.039831944333214297504
      141       142 -0.00073090855065162743404
      141       147 -0.014519966985430624723
      141       148 0.00055642464148909309783
