# Sparse Matrix (Morse)  
# first line: n m (is symmetic) nbcoef 
# after for each nonzero coefficient:   i j a_ij where (i,j) \in  {1,...,n}x{1,...,m} 
306 306 0  3484
      131         5 -0.0027657222804135452206
      131         6 6.9374238578498420205e-06
      131         7 0.042987612246202788757
      131         8 -1.387484771576012323e-05
      131         9 0.0001437686281959206665
      131        10 6.9374238578451232e-06
      131        21 -0.040356879539964446435
      131        22 6.5192737818374479897e-17
      132         5 0.014493538944736237412
      132         6 -0.0014922062918852853006
      132         7 -0.013319880355586954934
      132         8 0.021719334288554936752
      132         9 -0.001173658589149276189
      132        10 -3.9982747497682049448e-05
      132        22 -0.020178366195151235113
      133        13 0.022161273847380834334
      133        14 -7.5745078227201518423e-05
      133        15 0.011909270369761892558
      133        16 4.8631848121665978326e-05
      133        17 0.00056707429952971481844
      133        18 2.3849620865990402683e-05
      133        25 -0.031723781549744201058
      133        26 0.00010619611395599468974
      133        31 -0.002901771609258817046
      133        32 -0.00010293250471644966074
      134        13 0.015551056221483127578
      134        14 0.010924715799686807866
      134        15 -0.014162619252129197284
      134        16 0.0062655365658016437536
      134        17 -0.001391700578593609277
      134        18 0.00013417915419730938468
      134        25 0.00010619611395617079128
      134        26 -0.015851798995653493957
      134        31 -0.00010293250471648640165
      134        32 -0.0014605671663628521685
      137        15 0.0021312114526079164664
      137        16 2.0455845676191353188e-18
      137        17 0.00068262729231011989774
      137        18 6.5507410558279452473e-19
      137        31 -0.0028137310614309895065
      137        32 -2.7003410358467094809e-18
      138        15 0.0014250052482962900172
      138        16 0.0010656374682122815838
      138        17 -0.0014250052482962900172
      138        18 0.00034133564958534819579
      138        32 -0.0014068654343105837894
      139         3 0.0018116322630040921152
      139         4 -0.00026400513475237960114
      139         5 0.0019847485965930797801
      139         6 -0.00025236413678269930096
      139         7 0.0034532151345449397899
      139         8 0.00060210457147548543042
      139        19 -0.0022084086754209099855
      139        20 0.00027891575810720030219
      139        21 -0.0034394622055931157838
      139        22 -0.00056673567853645441441
      139        35 -0.001600072480971894166
      139        36 0.00020208462048884747548
      140         3 0.00080305235018189417839
      140         4 0.00059117061030397642998
      140         5 0.00069082582461930778801
      140         6 0.0019282266023878005638
