111564 298503
0 1 1 
1 3 2 3 4 
2 1 5 
3 1 6 
4 1 7 
5 1 8 
6 3 9 10 11 
7 1 12 
8 3 13 14 15 
9 1 16 
10 1 17 
11 1 18 
12 1 19 
13 1 20 
14 3 21 22 23 
15 1 24 
16 3 25 26 27 
17 1 28 
18 3 29 30 31 
19 3 32 33 34 
20 1 35 
21 1 36 
22 1 37 
23 1 38 
24 1 39 
25 1 40 
26 1 41 
27 1 42 
28 1 43 
29 1 44 
30 1 45 
31 3 46 47 48 
32 3 49 50 51 
33 3 52 53 54 
34 3 55 56 57 
35 3 58 59 60 
36 3 61 62 63 
37 3 64 65 66 
38 1 67 
39 3 68 69 70 
40 1 71 
41 1 72 
42 3 73 74 75 
43 1 76 
44 1 77 
45 1 78 
46 1 79 
47 1 80 
48 1 81 
49 1 82 
50 1 83 
51 1 84 
52 1 85 
53 1 86 
54 1 87 
55 1 88 
56 1 89 
57 1 90 
58 3 91 92 93 
59 3 94 95 96 
60 1 97 
61 3 98 99 100 
62 3 101 102 103 
63 1 104 
64 3 105 106 107 
65 1 108 
66 3 109 110 111 
67 6 112 113 114 115 116 117 
68 1 118 
69 1 119 
70 1 120 
71 1 121 
72 3 122 123 124 
73 1 125 
74 3 126 127 128 
75 3 129 130 131 
76 3 132 133 134 
77 3 135 136 137 
78 1 138 
79 1 139 
80 1 140 
81 1 141 
82 1 142 
83 3 143 144 145 
84 1 146 
85 3 147 148 149 
86 1 150 
87 3 151 152 153 
88 1 154 
89 1 155 
90 1 156 
91 1 157 
92 1 158 
93 1 159 
94 1 160 
95 1 161 
96 1 162 
97 3 163 164 165 
98 1 166 
99 1 167 
100 1 168 
101 1 169 
102 1 170 
103 3 171 172 173 
104 1 174 
105 3 175 176 177 
106 3 178 179 180 
107 1 181 
108 5 182 183 184 185 186 
109 1 187 
110 3 188 189 190 
111 1 191 
112 5 192 193 194 195 196 
113 1 197 
114 1 198 
115 6 199 200 201 202 203 204 
