# Size A	Size B		intersections	tests		test / size B	time
234		234		2810		4607		19.688		0.480802
488		488		6040		9966		20.4221		1.13896
976		976		12368		20640		21.1475		2.35203
2074		2074		26738		44795		21.5984		4.41263
3976		3976		51908		87342		21.9673		8.2481
8214		8214		107990		182031		22.1611		17.0117
15987		15987		211357		357217		22.3442		34.4365
32438		32438		430332		727745		22.435		69.0326
65158		65158		867458		1468700		22.5406		142.374
130056		130056		1733998		2936726		22.5805		271.515
258112		258112		3445964		5839245		22.6229		517.75
